"Num.","Descrição","Qtd.","Unidade Tributável","Valor(R$)"
"1","ESPINAFRE UNIDADE","1,00","UN","1,69"
"2","FEIJAO VERDE kg","0,98","KG","12,36"
"3","UVA ISABEL kg","0,47","KG","3,27"
"4","CHUCHU kg","0,33","KG","1,32"
"5","MANGA ROSA kg","2,08","KG","10,35"
"6","LIMAO kg","0,53","KG","2,25"
"7","CEBOLA COMUM kg","0,59","KG","2,55"
"8","MACA NACIONAL kg","0,78","KG","5,96"
"9","TOMATE kg","0,63","KG","5,03"
"10","BATATA INGLESA kg","1,11","KG","5,12"
"11","PEPINO kg","0,39","KG","1,52"
"12","MASSA P PASTEL PASTICREM 200G","1,00","UN","2,59"
"13","MASSA P PASTEL PASTICREM 200G","1,00","UN","2,59"
"14","MASSA P PASTEL PASTICREM 200G","1,00","UN","2,59"
"15","CORACAO MAURICEA 500G RESF","1,00","UN","12,09"
"16","LINGUICA SADIA kg CALABRESA TRAD","0,30","KG","5,85"
"17","LINGUICA PERDIGAO kg CALABRESA","0,49","KG","9,22"
"18","CARNE MOIDA kg SEGUNDA","0,61","KG","14,06"
"19","CARNE MOIDA kg SEGUNDA","0,58","KG","13,28"
"20","BEB LAC MARINA 1L AMEIXA","1,00","UN","2,89"
"21","BEB LAC MARINA 1L SALADA DE FRUTA","1,00","UN","2,89"
"22","BEB LAC MARINA 1L SALADA DE FRUTA","1,00","UN","2,89"
"23","BEB LAC MARINA 1L SALADA DE FRUTA","1,00","UN","2,89"
"24","BEB LAC MARINA CLAN 540G POLPA MORANGO","1,00","UN","2,25"
"25","BEB LAC MARINA CLAN 540G POLPA MORANGO","1,00","UN","2,25"
"26","LEITE FERM ELEGE 80G BOB ESPONJA MORANGO","18,00","UN","14,22"
"27","MARGARINA PRIMOR 250G C SAL","5,00","UN","8,95"
"28","REQUEIJAO CREM ELEGE 200G PT TRAD","1,00","UN","3,99"
"29","REQUEIJAO CREM ELEGE 200G PT TRAD","1,00","UN","3,99"
"30","INGRED P FEIJOADA SEARA 1kg","1,00","UN","24,99"
"31","BEB LAC NESQUIK 200ML TP MORANGO","18,00","UN","33,48"
"32","BEB LAC PIRAKIDS 1L TP CHOC","1,00","UN","4,99"
"33","BEB LAC PIRAKIDS 1L TP CHOC","1,00","UN","4,99"
"34","ALIM DE SOJA ADES 1L TP FRUTAS MACA","1,00","UN","6,49"
"35","ALIM DE SOJA ADES 1L TP FRUTAS MACA","1,00","UN","6,49"
"36","ALIM DE SOJA ADES 1L TP FRUTAS MACA","1,00","UN","6,49"
"37","REFRIG COCA COLA 1L PET","1,00","UN","4,99"
"38","REFRIG ANTARCTICA 1L GUARANA","1,00","UN","3,49"
"39","CERVEJA SKOL 350ML LT","12,00","UN","27,48"
"40","ALIM DE SOJA ADES 1L TP FRUTAS MACA","1,00","UN","6,49"
"41","BATATA PALHA REI DE OURO 80G TRADICIONAL","1,00","UN","2,99"
"42","BATATA PALHA REI DE OURO 80G TRADICIONAL","1,00","UN","2,99"
"43","BATATA PALHA REI DE OURO 80G TRADICIONAL","1,00","UN","2,99"
"44","MAC GALO 500G SEMOLA SHOW ALFABETO","1,00","UN","3,29"
"45","FEIJAO SAFRA DE OURO 1kg PRETO","1,00","UN","5,19"
"46","AMENDOIM TORRADO GRELHADITOS 400G","1,00","UN","9,98"
"47","FAR DE MILHO NOVOMILHO 500G FLOCAO","4,00","UN","4,76"
"48","AVEIA QUAKER 200G FLOCOS FINOS","1,00","UN","3,09"
"49","ARROZ KIKA 1kg TP 1 PARBOLIZADO","1,00","UN","2,79"
"50","ARROZ KIKA 1kg TP 1 PARBOLIZADO","1,00","UN","2,79"
"51","MILHO P PIPOCA REI DE OURO 500G","1,00","UN","1,99"
"52","MILHO P PIPOCA REI DE OURO 500G","1,00","UN","1,99"
"53","FEIJAO SAFRA DE OURO 1kg PEROLA CARIOQUINHA T1","1,00","UN","5,89"
"54","SAL LEBRE 1kg REFINADO","1,00","UN","1,39"
"55","SAL LEBRE 1kg REFINADO","1,00","UN","1,39"
"56","FARINHA DE MANDIOCA SERRANA 1kg","1,00","UN","3,09"
"57","FARINHA DE MANDIOCA SERRANA 1kg","1,00","UN","3,09"
"58","ACUCAR ALEGRE 1kg CRISTAL","4,00","UN","9,96"
"59","PAO PAO DE MEL 400G TRAD FORMA","1,00","UN","4,29"
"60","CAFE KIMIMO 50G FORTE E ENCOR SACHE","1,00","UN","2,29"
"61","CAFE NORDESTINO 50G SCH SOLUVEL","1,00","UN","2,29"
"62","CAFE KIMIMO 50G FORTE E ENCOR SACHE","1,00","UN","2,29"
"63","BISC WAFER VITARELLA 120G CHOCOLATE","1,00","UN","1,55"
"64","BISC WAFER VITARELLA 120G CHOCOLATE","1,00","UN","1,55"
"65","BOLACHA JUCURUTU 250G MANT DO SE","1,00","UN","4,39"
"66","BOLACHA JUCURUTU 250G MANT DO SE","1,00","UN","4,39"
"67","BOLACHA JUCURUTU 250G MANT DO SE","1,00","UN","4,39"
"68","BOMBONS SORT GAROTO 250G","1,00","UN","9,99"
"69","PAO PLUS VITA 300G BISNAGUITO TRAD","1,00","UN","6,29"
"70","PAO PLUS VITA 300G BISNAGUITO TRAD","1,00","UN","6,29"
"71","MAC GALO 500G NINHO 2 SEMOLA","1,00","UN","3,29"
"72","MAC VITARELLA 500G PARAFUSO SEMOLA","1,00","UN","3,49"
"73","CEREAL MAT NESCAU 120G SCH","4,00","UN","15,96"
"74","AMIDO DE MILHO MAIZENA 200G","1,00","UN","2,99"
"75","AMIDO DE MILHO MAIZENA 200G","1,00","UN","2,99"
"76","MAC ALIANCA 500G ESPAGUETE SEMOLA","1,00","UN","1,89"
"77","BISC WAFER VITARELLA 120G CHOCOLATE","1,00","UN","1,55"
"78","BISC TORT MARILAN 375G CHOCOLATE","1,00","UN","4,69"
"79","BISC VITAMASSA 400G CR CRACKER TRAD","1,00","UN","2,59"
"80","BISC VITAMASSA 400G CR CRACKER TRAD","1,00","UN","2,59"
"81","BISC TORT MARILAN 375G CHOCOLATE","1,00","UN","4,69"
"82","BISC CLUB SOCIAL 156G/144G ORIGINAL","3,00","UN","9,57"
"83","BISC TORT MARILAN 375G MORANGO","1,00","UN","4,69"
"84","BISC TORT MARILAN 375G MORANGO","1,00","UN","4,69"
"85","BISC TORT MARILAN 375G MORANGO","1,00","UN","4,69"
"86","BISC VITAMASSA 400G CR CRACKER TRAD","1,00","UN","2,59"
"87","LEITE EM PO NINHO 800G FORTIFICADO INSTANTANEO","1,00","UN","23,98"
"88","LEITE EM PO NINHO 800G FORTIFICADO INSTANTANEO","1,00","UN","23,98"
"89","CAFE NORDESTINO 50G SCH SOLUVEL","1,00","UN","2,29"
"90","CREME DE LEITE ITALAC 200G TP","1,00","UN","1,89"
"91","CREME DE LEITE ITALAC 200G TP","1,00","UN","1,89"
"92","CREME DE LEITE ITALAC 200G TP","1,00","UN","1,89"
"93","EXTRATO DE TOMATE QUERO 320G TP","1,00","UN","1,95"
"94","EXTRATO DE TOMATE QUERO 320G TP","1,00","UN","1,95"
"95","EXTRATO DE TOMATE QUERO 320G TP","1,00","UN","1,95"
"96","EXTRATO DE TOMATE QUERO 320G TP","1,00","UN","1,95"
"97","ACHOC PO NESCAU 2.0 800G SCH","1,00","UN","12,79"
"98","BISC ESTRELA 400G MAIZENA","1,00","UN","3,49"
"99","BISC ESTRELA 400G MAIZENA","1,00","UN","3,49"
"100","OLEO DE SOJA SOYA 900ML PET","1,00","UN","4,59"
"101","OLEO DE SOJA SOYA 900ML PET","1,00","UN","4,59"
"102","OLEO DE SOJA SOYA 900ML PET","1,00","UN","4,59"
"103","ATUM GOMES DA COSTA 170G LT PEDACOS OLEO","1,00","UN","8,49"
"104","ATUM GOMES DA COSTA 170G LT PEDACOS OLEO","1,00","UN","8,49"
"105","ATUM GOMES DA COSTA 170G LT PEDACOS OLEO","1,00","UN","8,49"
"106","VINAGRE ALCOOL FIGUEIRA 500ML PET","1,00","UN","1,59"
"107","VINAGRE ALCOOL FIGUEIRA 500ML PET","1,00","UN","1,59"
"108","CATCHUP ARISCO 390G PET TRADICIONAL","1,00","UN","3,89"
"109","CATCHUP ARISCO 390G PET TRADICIONAL","1,00","UN","3,89"
"110","MAIONESE ODERICH 350G BNG","1,00","UN","3,79"
"111","CATCHUP ODERICH 200G BNG","1,00","UN","2,59"
"112","AZEITE DE OLIVA GALLO 500ML VD EXTRA VIRGEM","1,00","UN","17,99"
"113","TEMP SAZON 60G MASSAS","1,00","UN","3,59"
"114","TEMP SAZON 60G MASSAS","1,00","UN","3,59"
"115","COLORIFICO REI DE OURO 100G","1,00","UN","0,59"
"116","COLORIFICO DONA CLARA 100G","1,00","UN","0,79"
"117","CALDO KNORR 114G CARNE","1,00","UN","2,49"
"118","ALHO GOOD CHIP S 200G","1,00","UN","7,69"
"119","OVOS AVINE C/30 PLAST GRD BCO","1,00","UN","12,69"
"120","ABS ALWAYS BASICO M SUAVE C 32 C AB","1,00","UN","10,99"
"121","PROT DIARIO CAREFREE C60 L+ P- NEUTRAL S PERF","1,00","UN","14,99"
"122","PAP HIG FLORAL 30M LV8 PG7 PERFUMADO","1,00","UN","4,99"
"123","PAP HIG FLORAL 30M LV8 PG7 PERFUMADO","1,00","UN","4,99"
"124","PAPEL TOALHA ABSOLUTO DECO C2 120T BRANCO","1,00","UN","3,59"
"125","LAVA ROUPAS OMO 400G PO BG LAVAG PERFEITA","1,00","UN","5,99"
"126","TOALHA UMED BAB POPPY ESTOJO C 100","1,00","UN","11,59"
"127","AMACIANTE DOWNY 1L BRISA DE VERAO","1,00","UN","17,99"
"128","LIMPADOR LIMPOL 500ML MULTIUSO COM ALCOOL","1,00","UN","2,89"
"129","LIMPADOR LIMPOL 500ML MULTIUSO COM ALCOOL","1,00","UN","2,89"
"130","PAPEL ALUMINIO FORT PACK 30X7,5M","1,00","UN","3,89"
"131","AGUA SANITARIA BRILUX L2000 P1800ML","1,00","UN","5,19"
"132","CR P PENTEAR ELSEVE 250ML REP TOTAL 5","1,00","UN","13,69"
"133","LAVA ROUPAS BRILHANTE 900ML LIMP TOTAL","1,00","UN","7,99"
"134","LAVA ROUPAS BRILHANTE 900ML LIMP TOTAL","1,00","UN","7,99"
"135","LAVA ROUPAS BRILHANTE 900ML LIMP TOTAL","1,00","UN","7,99"
"136","LA DE ACO ASSOLAN 60G DESC 10","1,00","UN","1,19"
"137","COND SEDA 325ML BOMB ARGAN","1,00","UN","11,99"
"138","SH SEDA 325ML BOMBA ARGAN","1,00","UN","10,19"
"139","LAVA LOUCAS BARRA 500ML CLEAR","1,00","UN","1,49"
"140","SAB LIQ PALMOLIVE 500ML NATURALS CAMELIA","1,00","UN","13,69"
"141","GUARDANAPO MILI 21X22CM C/50","1,00","UN","1,59"
"142","COND PANTENE 170ML 3MINUTOS MILAG RESTAURACAO","1,00","UN","21,90"
"143","COND PANTENE 170ML 3MINUTOS MILAG RESTAURACAO","1,00","UN","21,90"
"144","COPO DESC COPOBRAS 150ML C100 TRANS","1,00","UN","3,39"
"145","CR DENTAL ORAL B 100G INF STAGES","1,00","UN","9,98"
"146","LAVA ROUPAS OMO 400G PO BG LAVAG PERFEITA","1,00","UN","5,99"
"147","CHOC KINDER JOY 20G","1,00","UN","6,49"
"148","CHOC KINDER JOY 20G","1,00","UN","6,49"
"149","CHOC KINDER JOY 20G","1,00","UN","6,49"
"150","FIO DENTAL COLGATE 50M ENCERADO","1,00","UN","9,29"
"151","QUEIJO MINEIRINHO 50G PARMESAO RAL","1,00","UN","1,89"
"152","QUEIJO MINEIRINHO 50G PARMESAO RAL","1,00","UN","1,89"
"153","ADOCANTE ASSUGRIN 200ML","1,00","UN","5,49"
"154","SABONETE EVEN SUAVE 85G MORANGO CHANT","1,00","UN","1,19"
"155","SABONETE EVEN SUAVE 85G PESSEGO","1,00","UN","1,19"
"156","SABONETE EVEN SUAVE 85G ERV DOCE ALECR","1,00","UN","1,19"
"157","SABONETE EVEN SUAVE 85G ALGAS MARINHAS","1,00","UN","1,19"
"158","SABONETE EVEN SUAVE 85G LIMAO CHA VERDE","1,00","UN","1,19"
"159","SABONETE EVEN SUAVE 85G FLORES E BURITI","1,00","UN","1,19"
"160","BOBINA EXTRUSA PACK 30X38CM PICOTADA C 500","1,00","UN","21,99"
"161","FIO DENTAL COLGATE 50M ENCERADO","1,00","UN","9,29"
"162","DESOD CREME REXONA CLINICAL 48G WOMEN","1,00","UN","19,99"
"163","TOALHA UMED BAB POPPY ESTOJO C 100","1,00","UN","11,59"
"164","CREME DE BARBEAR NIVEA 65G ORIGINAL","1,00","UN","8,19"
"165","ESPONJA SOTCH BRITE L4P3 M. USO","1,00","UN","4,59"
"166","ALGODAO CREMER 50G EM BOLAS","1,00","UN","4,19"
"167","DESOD CREME 48G REXONA CLINICAL MEN CLEAN","1,00","UN","19,99"
"168","DESOD CREME REXONA CLINICAL 48G WOMEN","1,00","UN","19,99"
"169","VEJA PERF AROMA SENSE 1000ML ROMANCE","1,00","UN","10,99"
"170","SACO LIXO ECON 200 LT S. FORTE PRETO","1,00","UN","13,98"
"171","PANO PERFEX MULTIUSO ANTIBACTERIA AZUL","1,00","UN","5,29"
"172","DESOD CREME 48G REXONA CLINICAL MEN CLEAN","1,00","UN","19,99"
"173","LUSTRA MOVEIS POLIFLOR 500ML LAVANDA","1,00","UN","16,99"
"174","LAVA ROUPAS ALA 500G CUIDADO D COCO","1,00","UN","2,39"
"175","LAVA ROUPAS ALA 500G CUIDADO D COCO","1,00","UN","2,39"
"176","SABAO EM BARRA MINUANO 1kg C5 NEUTR GLICERINADO","1,00","UN","6,98"
"177","SABAO EM BARRA MINUANO 1kg C5 NEUTR GLICERINADO","1,00","UN","6,98"
"178","SAB LIQ DERMACYD 200ML INTIMO INFANTIL","1,00","UN","19,90"
